Date,Close/Last,Volume,Open,High,Low
08/05/2016,1.13,N/A,1.13,1.13,1.13
08/04/2016,1.03,N/A,1.03,1.03,1.03
08/03/2016,1.07,N/A,1.07,1.07,1.07
08/02/2016,1.07,N/A,1.07,1.07,1.07
08/01/2016,1.06,N/A,1.06,1.06,1.06
07/29/2016,1.1,N/A,1.1,1.1,1.1
07/28/2016,1.1,N/A,1.1,1.1,1.1
07/27/2016,1.1,N/A,1.1,1.1,1.1
07/26/2016,1.15,N/A,1.15,1.15,1.15
07/25/2016,1.15,N/A,1.15,1.15,1.15
07/22/2016,1.13,N/A,1.13,1.13,1.13
07/21/2016,1.11,N/A,1.11,1.11,1.11
07/20/2016,1.15,N/A,1.15,1.15,1.15
07/19/2016,1.12,N/A,1.12,1.12,1.12
07/18/2016,1.14,N/A,1.14,1.14,1.14
07/15/2016,1.15,N/A,1.15,1.15,1.15
07/14/2016,1.1,N/A,1.1,1.1,1.1
07/13/2016,1.07,N/A,1.07,1.07,1.07
07/12/2016,1.1,N/A,1.1,1.1,1.1
07/11/2016,1.03,N/A,1.03,1.03,1.03
07/08/2016,0.95,N/A,0.95,0.95,0.95
07/07/2016,0.97,N/A,0.97,0.97,0.97
07/06/2016,0.95,N/A,0.95,0.95,0.95
07/05/2016,0.94,N/A,0.94,0.94,0.94
07/04/2016,1,N/A,1,1,1
07/01/2016,1,N/A,1,1,1
06/30/2016,1.03,N/A,1.03,1.03,1.03
06/29/2016,1.03,N/A,1.03,1.03,1.03
06/28/2016,1,N/A,1,1,1
06/27/2016,1,N/A,1,1,1
06/24/2016,1.08,N/A,1.08,1.08,1.08
06/23/2016,1.25,N/A,1.25,1.25,1.25
06/22/2016,1.2,N/A,1.2,1.2,1.2
06/21/2016,1.22,N/A,1.22,1.22,1.22
06/20/2016,1.17,N/A,1.17,1.17,1.17
06/17/2016,1.13,N/A,1.13,1.13,1.13
06/16/2016,1.1,N/A,1.1,1.1,1.1
06/15/2016,1.1,N/A,1.1,1.1,1.1
06/14/2016,1.15,N/A,1.15,1.15,1.15
06/13/2016,1.14,N/A,1.14,1.14,1.14
06/10/2016,1.17,N/A,1.17,1.17,1.17
06/09/2016,1.22,N/A,1.22,1.22,1.22
06/08/2016,1.23,N/A,1.23,1.23,1.23
06/07/2016,1.23,N/A,1.23,1.23,1.23
06/06/2016,1.25,N/A,1.25,1.25,1.25
06/03/2016,1.23,N/A,1.23,1.23,1.23
06/02/2016,1.36,N/A,1.36,1.36,1.36
06/01/2016,1.39,N/A,1.39,1.39,1.39
05/31/2016,1.37,N/A,1.37,1.37,1.37
05/30/2016,1.39,N/A,1.39,1.39,1.39
05/27/2016,1.39,N/A,1.39,1.39,1.39
05/26/2016,1.35,N/A,1.35,1.35,1.35
05/25/2016,1.4,N/A,1.4,1.4,1.4
05/24/2016,1.41,N/A,1.41,1.41,1.41
05/23/2016,1.38,N/A,1.38,1.38,1.38
05/20/2016,1.38,N/A,1.38,1.38,1.38
05/19/2016,1.38,N/A,1.38,1.38,1.38
05/18/2016,1.41,N/A,1.41,1.41,1.41
05/17/2016,1.29,N/A,1.29,1.29,1.29
05/16/2016,1.26,N/A,1.26,1.26,1.26
